time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-06 12:35:00,Ok,1693983900,44336.4,44340.65,44293.15,44293.15,0.00,0,0,0,0
2023-09-06 12:40:00,Ok,1693984200,44293.45,44303.55,44267.45,44298.85,0.00,0,0,0,0
2023-09-06 12:45:00,Ok,1693984500,44297.85,44302.8,44284.0,44298.3,0.00,0,0,0,0
2023-09-06 12:50:00,Ok,1693984800,44297.95,44299.95,44280.85,44283.25,0.00,0,0,0,0
2023-09-06 12:55:00,Ok,1693985100,44282.0,44296.5,44262.4,44282.65,0.00,0,0,0,0
2023-09-06 13:00:00,Ok,1693985400,44283.2,44300.65,44281.45,44295.9,0.00,0,0,0,0
2023-09-06 13:05:00,Ok,1693985700,44294.15,44317.95,44277.95,44279.1,0.00,0,0,0,0
2023-09-06 13:10:00,Ok,1693986000,44278.75,44322.05,44277.35,44285.25,0.00,0,0,0,0
2023-09-06 13:15:00,Ok,1693986300,44287.75,44324.45,44287.0,44316.35,0.00,0,0,0,0
2023-09-06 13:20:00,Ok,1693986600,44317.45,44327.8,44258.4,44258.85,0.00,0,0,0,0
2023-09-06 13:25:00,Ok,1693986900,44259.9,44268.3,44245.55,44260.75,0.00,0,0,0,0
2023-09-06 13:30:00,Ok,1693987200,44264.3,44284.05,44226.25,44229.55,0.00,0,0,0,0
2023-09-06 13:35:00,Ok,1693987500,44227.9,44256.65,44211.05,44248.75,0.00,0,0,0,0
2023-09-06 13:40:00,Ok,1693987800,44249.7,44300.75,44248.0,44292.8,0.00,0,0,0,0
2023-09-06 13:45:00,Ok,1693988100,44294.85,44318.65,44272.0,44312.65,0.00,0,0,0,0
2023-09-06 13:50:00,Ok,1693988400,44316.15,44324.35,44272.25,44287.15,0.00,0,0,0,0
2023-09-06 13:55:00,Ok,1693988700,44290.35,44315.85,44256.85,44261.8,0.00,0,0,0,0
2023-09-06 14:00:00,Ok,1693989000,44263.95,44321.0,44261.05,44288.9,0.00,0,0,0,0
2023-09-06 14:05:00,Ok,1693989300,44291.95,44308.65,44271.9,44298.35,0.00,0,0,0,0
2023-09-06 14:10:00,Ok,1693989600,44296.35,44316.2,44285.05,44299.35,0.00,0,0,0,0
2023-09-06 14:15:00,Ok,1693989900,44299.6,44327.05,44295.05,44327.05,0.00,0,0,0,0
2023-09-06 14:20:00,Ok,1693990200,44331.25,44331.7,44302.1,44306.95,0.00,0,0,0,0
2023-09-06 14:25:00,Ok,1693990500,44306.5,44332.05,44300.2,44308.25,0.00,0,0,0,0
2023-09-06 14:30:00,Ok,1693990800,44308.3,44348.65,44297.45,44326.75,0.00,0,0,0,0
2023-09-06 14:35:00,Ok,1693991100,44331.2,44340.35,44306.2,44319.5,0.00,0,0,0,0
2023-09-06 14:40:00,Ok,1693991400,44321.2,44350.85,44307.35,44348.4,0.00,0,0,0,0
2023-09-06 14:45:00,Ok,1693991700,44351.4,44359.1,44314.55,44343.4,0.00,0,0,0,0
2023-09-06 14:50:00,Ok,1693992000,44343.9,44359.55,44301.85,44316.5,0.00,0,0,0,0
2023-09-06 14:55:00,Ok,1693992300,44317.35,44371.75,44300.05,44364.05,0.00,0,0,0,0
2023-09-06 15:00:00,Ok,1693992600,44364.9,44384.2,44333.6,44369.35,0.00,0,0,0,0
2023-09-06 15:05:00,Ok,1693992900,44368.1,44455.0,44368.1,44436.25,0.00,0,0,0,0
2023-09-06 15:10:00,Ok,1693993200,44438.8,44441.4,44380.4,44388.95,0.00,0,0,0,0
2023-09-06 15:15:00,Ok,1693993500,44388.0,44448.7,44388.0,44448.4,0.00,0,0,0,0
2023-09-06 15:20:00,Ok,1693993800,44444.45,44480.35,44426.6,44478.7,0.00,0,0,0,0
2023-09-06 15:25:00,Ok,1693994100,44477.95,44524.05,44418.05,44418.05,0.00,0,0,0,0
2023-09-07 09:15:00,Ok,1694058300,44464.2,44464.2,44361.85,44374.35,0.00,0,0,0,0
2023-09-07 09:20:00,Ok,1694058600,44376.05,44409.55,44347.25,44348.85,0.00,0,0,0,0
2023-09-07 09:25:00,Ok,1694058900,44345.7,44390.15,44342.65,44388.45,0.00,0,0,0,0
2023-09-07 09:30:00,Ok,1694059200,44383.7,44390.15,44344.65,44354.05,0.00,0,0,0,0
2023-09-07 09:35:00,Ok,1694059500,44353.0,44374.4,44341.7,44344.95,0.00,0,0,0,0
2023-09-07 09:40:00,Ok,1694059800,44349.3,44377.35,44346.2,44372.15,0.00,0,0,0,0
2023-09-07 09:45:00,Ok,1694060100,44374.65,44422.0,44366.8,44407.5,0.00,0,0,0,0
2023-09-07 09:50:00,Ok,1694060400,44412.05,44478.45,44412.05,44473.75,0.00,0,0,0,0
2023-09-07 09:55:00,Ok,1694060700,44478.55,44504.6,44462.55,44469.65,0.00,0,0,0,0
2023-09-07 10:00:00,Ok,1694061000,44468.5,44490.9,44454.55,44467.35,0.00,0,0,0,0
2023-09-07 10:05:00,Ok,1694061300,44465.4,44473.55,44440.5,44441.15,0.00,0,0,0,0
2023-09-07 10:10:00,Ok,1694061600,44442.05,44477.0,44422.2,44468.2,0.00,0,0,0,0
2023-09-07 10:15:00,Ok,1694061900,44476.35,44488.9,44456.1,44456.1,0.00,0,0,0,0
2023-09-07 10:20:00,Ok,1694062200,44454.35,44468.15,44433.65,44454.95,0.00,0,0,0,0
2023-09-07 10:25:00,Ok,1694062500,44455.7,44468.9,44449.15,44463.45,0.00,0,0,0,0
2023-09-07 10:30:00,Ok,1694062800,44464.25,44471.25,44456.1,44462.85,0.00,0,0,0,0
2023-09-07 10:35:00,Ok,1694063100,44459.3,44522.15,44442.15,44511.7,0.00,0,0,0,0
2023-09-07 10:40:00,Ok,1694063400,44510.9,44521.55,44484.15,44500.55,0.00,0,0,0,0
2023-09-07 10:45:00,Ok,1694063700,44499.85,44515.4,44489.55,44496.15,0.00,0,0,0,0
2023-09-07 10:50:00,Ok,1694064000,44496.8,44497.8,44477.6,44491.4,0.00,0,0,0,0
2023-09-07 10:55:00,Ok,1694064300,44490.7,44517.55,44488.7,44511.4,0.00,0,0,0,0
